2.290537,2.282144;0.190870,0.100647;0.581792
-12.715140,-5.120812;-0.252097,-0.071822;0.442345
-0.174455,-1.503801;0.106728,0.195641;0.075256
-0.076269,-0.002445;-0.036391,0.103208;0.887026
1.428606,6.570915;0.131556,0.121970;0.553019
0.124304,-0.194952;0.036394,0.694664;0.343538
0.008487,-0.348381;-0.109260,0.074326;0.672733
-13.338934,-13.292329;-0.309364,-0.271347;0.041683
-0.875322,-0.208404;0.080638,-0.154574;0.991618
0.234130,-0.195632;-0.194093,-0.272509;0.268299
4.011453,-1.025796;0.034195,-0.069627;0.856752
-7.878877,-3.611147;-0.105848,-0.007068;0.164524
0.058289,-0.268115;-0.127915,-0.880930;0.749939
0.305425,0.078228;-0.217021,0.463114;0.541212
0.301071,0.224775;-0.156390,-0.137641;0.771413
0.150728,-0.663294;0.007445,0.290693;0.862130
0.199308,-0.345035;0.151993,-0.922115;0.003955
0.109296,-0.730169;0.390363,0.065571;0.075602
0.439612,-0.687414;-0.384658,-0.409421;0.402206
0.211004,-0.710352;-0.221396,-0.569805;0.486433
-1.868882,-1.526944;0.151237,-0.005882;0.191810
1.041268,-0.127567;-0.363719,-0.364142;0.374060
-0.372599,-0.312291;-0.084502,0.093826;0.875986
0.495981,-0.643600;0.167835,0.092106;0.842375
0.371901,-1.870744;0.047312,-0.129567;0.112853
-8.273986,-15.721787;-0.185305,-0.330517;0.230992
11.084405,25.411163;0.216327,0.501308;0.094233
0.007909,-0.246056;-0.197119,0.401443;0.544767
0.641999,3.456732;0.114375,0.018496;0.647947
-3.620777,0.600457;-0.139859,-0.021127;0.137850
0.380384,-0.648585;0.078736,0.460081;0.077654
0.241881,-0.527377;-0.295485,0.244834;0.809540
0.348153,-0.650127;0.062885,-0.131678;0.439067
-0.122858,0.029083;-0.017358,0.547758;0.779328
-0.068409,-0.261087;-0.371013,0.321250;0.986606
0.543786,-0.397730;0.611700,0.316231;0.619765
0.556340,-0.406052;0.403283,-0.185238;0.920400
0.259653,-0.689044;0.007219,0.165144;0.977943
-0.793324,-1.268621;-0.050405,0.077480;0.739839
0.478907,-0.028100;0.041981,0.372650;0.360021
0.423682,-0.577988;0.202692,0.326284;0.603862
0.631969,-0.679234;0.061783,-0.032748;0.504623
-0.011613,-0.223532;0.607332,-0.044367;0.379488
1.637375,3.873189;0.013004,-0.137600;0.659893
0.431089,-0.490251;-0.366473,0.248519;0.765607
0.474153,-1.193399;0.336906,0.100097;0.326891
0.026998,-0.615145;-0.082949,0.018787;0.747771
0.443041,-0.290582;-0.160253,0.373107;0.217017
0.623179,-8.038963;0.005488,-0.068026;0.066757
-0.608467,-4.385729;-0.008967,0.103764;0.247154
0.672266,-0.548405;0.221007,-0.356063;0.408007
0.442937,-0.565535;-0.119295,0.660956;0.810837
0.084997,0.011127;-0.095277,0.412875;0.547549
-0.005536,-0.238654;0.437390,-0.187962;0.665531
5.707855,20.359779;0.100716,0.382127;0.978483
0.249736,0.010429;0.447561,0.024829;0.070936
0.037185,-0.730286;0.101145,0.105994;0.133810
0.374147,-0.334337;-0.638395,-0.419688;0.223486
13.827167,28.661778;0.275565,0.574719;0.506137
-2.386527,-9.486647;-0.056505,-0.123531;0.957336
-0.498865,-1.421515;0.176884,-0.132293;0.330687
